,active,african,arts,bars,beautysvc,caribbean,chinese,education,eventservices,fitness,food,gourmet,hotelstravel,"hotelstravel, eventservices",japanese,latin,localservices,massmedia,media,mexican,mideastern,nightlife,"nightlife, arts",realestate,restaurants,shopping,"shopping, arts",specialtyschools,tours,NumCategories,VarietyCount,neighborhood,VarietyPerc
127,0.43,0.0,0.85,41.88,0.0,0.0,0.0,0.0,0.85,0.0,3.85,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.0,0.0,0.0,19.23,0.43,0.0,31.2,0.0,0.0,0.0,0.0,11,7,Astoria/LIC,63.64
128,0.0,0.0,0.0,35.85,0.0,0.0,0.0,0.0,1.89,0.63,3.14,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.82,3.77,0.0,23.27,0.0,0.0,0.0,0.0,8,6,Bed-Stuy,75.0
129,0.0,0.0,0.0,25.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,0.0,22.5,0.0,0.0,0.0,0.0,5,3,Bed-Stuy/Bushwick,60.0
130,0.0,0.0,1.32,30.26,0.0,0.0,0.0,0.0,2.63,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.32,0.0,35.53,3.95,0.0,21.05,0.0,0.0,0.0,0.0,9,6,Bushwick,66.67
131,0.29,0.0,2.28,43.65,0.0,0.0,0.0,0.0,1.43,0.14,0.43,0.29,0.29,0.14,0.29,0.0,0.0,0.0,0.0,0.29,0.0,21.83,4.28,0.0,24.25,0.0,0.0,0.14,0.0,15,12,Chelsea,80.0
132,0.0,0.0,0.0,47.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.05,4.76,0.0,28.57,0.0,0.0,0.0,0.0,4,3,Elmhurst,75.0
133,0.0,0.0,0.0,29.17,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.39,0.0,0.0,18.06,0.0,0.0,0.0,0.0,4,1,Flushing,25.0
134,1.32,0.0,2.63,38.16,0.0,0.0,0.0,0.0,1.32,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.26,0.0,23.68,0.0,0.0,0.0,0.0,8,5,Greenpoint,62.5
135,0.0,0.0,1.27,34.18,0.0,0.0,0.0,0.0,5.06,0.0,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,15.19,12.66,0.0,27.85,0.0,0.0,0.0,0.0,8,5,Harlem,62.5
136,0.0,0.0,0.0,35.71,0.0,0.0,0.0,0.0,2.38,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,30.95,0.0,0.0,26.19,0.0,0.0,0.0,0.0,6,5,Inwood,83.33
137,0.0,0.0,0.0,40.38,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,1.92,0.0,25.0,1.92,0.0,21.15,0.0,0.0,0.0,0.0,7,4,Jackson Heights,57.14
138,0.0,0.0,1.17,40.94,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,29.24,2.34,0.0,23.98,0.0,0.0,0.0,0.0,7,2,LES,28.57
139,0.0,0.0,0.0,56.52,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.39,0.0,0.0,21.74,0.0,0.0,0.0,0.0,4,2,LIC,50.0
140,0.0,0.0,0.0,30.19,0.0,0.0,0.0,0.0,0.0,0.0,5.66,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.96,3.77,0.0,24.53,0.0,0.0,0.0,0.0,6,4,Ridgewood,66.67
141,0.0,0.0,0.0,23.53,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,35.29,5.88,0.0,23.53,0.0,0.0,0.0,0.0,6,4,South Bronx,66.67
142,0.0,0.0,0.0,26.85,0.0,0.0,0.0,0.0,2.31,0.0,2.78,0.0,0.0,0.0,0.46,0.0,0.46,0.0,0.46,0.0,0.0,35.65,3.7,0.0,26.85,0.46,0.0,0.0,0.0,10,9,Williamsburg,90.0
143,0.0,0.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,44.0,6.0,0.0,14.0,0.0,0.0,0.0,0.0,7,5,Williamsburg/Bushwick/Bed-Stuy,71.43
